Flight_Number,Launch_Date,Launch_Site,Booster_Version,Payload_Name,Payload_Mass,Payload_Orbit,Customer_Name,Mission_Outcome,Landing_Outcome
56,2018-02-22T14:17:00.000Z,VAFB SLC 4E,B1038,Paz,800.0,SSO,HisdeSAT,True,
57,2018-03-06T05:33:00.000Z,CCAFS SLC 40,B1044,Hispasat 30W-6,,,Hispasat,True,
58,2018-03-30T14:13:51.000Z,VAFB SLC 4E,B1041,Iridium NEXT 5,,,Iridium Communications,True,
59,2018-04-02T20:30:41.000Z,CCAFS SLC 40,B1039,SpaceX CRS-14,,,NASA (CRS),True,
60,2018-04-18T22:51:00.000Z,CCAFS SLC 40,B1045,TESS,,,NASA,True,True
61,2018-05-11T20:14:00.000Z,KSC LC 39A,B1046,Bangabandhu-1,,,Bangladesh Gov,True,True
62,2018-05-22T19:47:58.000Z,VAFB SLC 4E,B1043,Iridium NEXT 6,1160.0,PO,Iridium Communications,True,
63,2018-06-04T04:45:00.000Z,CCAFS SLC 40,B1040,SES-12,,,SES,True,
64,2018-06-29T09:42:00.000Z,CCAFS SLC 40,B1045,SpaceX CRS-15,,,NASA (CRS),True,
65,2018-07-22T05:50:00.000Z,CCAFS SLC 40,B1047,Telstar 19V,,,Telesat,True,True
66,2018-07-25T11:39:26.000Z,VAFB SLC 4E,B1048,Iridium NEXT 7,,,Iridium Communications,True,True
67,2018-08-07T05:18:00.000Z,CCAFS SLC 40,B1046,Telkom-4,,,Telkom,True,True
